# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
12283.3000 A840 20 1 38.3000 Street_7 Street_1 299 N Street_7->Street_1
12294.8000 A839 20 1 66.8000 Street_4 Avenue_16 298 N Street_4->Avenue_16
12412.6000 A817 20 2 511.6000 Avenue_20 Street_7 291 N Avenue_20->Street_9->Street_7
12482.8000 A851 20 3 73.8000 Street_3 Avenue_20 298 N Street_3->Street_7->Avenue_13->Avenue_20
12684.9000 A866 20 1 67.9000 Street_10 Street_7 298 N Street_10->Street_7
12804.7000 A867 20 1 169.7000 Avenue_11 Avenue_17 297 N Avenue_11->Avenue_17
12813.9000 A870 20 2 138.9000 Avenue_20 Avenue_19 297 N Avenue_20->Avenue_18->Avenue_19
12836.1000 A882 20 1 0.1000 Avenue_18 Avenue_20 299 N Avenue_18->Avenue_20
13142.4000 A899 20 2 42.4000 Avenue_16 Avenue_15 299 N Avenue_16->Avenue_20->Avenue_15
13245.8000 A907 20 2 30.8000 Street_3 Street_5 299 N Street_3->Street_7->Street_5
13285.1000 A910 20 1 25.1000 Avenue_18 Street_5 299 N Avenue_18->Street_5
13419.6000 A872 20 4 718.6000 Street_3 Avenue_16 288 N Street_3->Street_6->Avenue_14->Avenue_11->Avenue_16
13439.3000 A903 20 1 284.3000 Street_9 Street_2 295 N Street_9->Street_2
13527.7000 A924 20 2 52.7000 Street_5 Street_4 299 N Street_5->Street_3->Street_4
13558.1000 A930 20 1 0.1000 Street_3 Avenue_18 299 N Street_3->Avenue_18
13558.9000 A927 20 1 48.9000 Street_8 Street_7 299 N Street_8->Street_7
13582.0000 A921 20 1 162.0000 Avenue_19 Avenue_13 297 N Avenue_19->Avenue_13
13609.3000 A932 20 1 25.3000 Street_9 Street_1 299 N Street_9->Street_1
13900.5000 A950 20 2 74.5000 Street_7 Street_8 298 N Street_7->Street_3->Street_8
13934.6000 A942 20 2 206.6000 Street_2 Street_1 296 N Street_2->Street_9->Street_1
