# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
3199.0000 A218 31 1 68.0000 Street_3 Street_8 298 N Street_3->Street_8
3328.9000 A205 31 3 411.9000 Avenue_19 Street_2 293 N Avenue_19->Street_7->Street_3->Street_2
3380.3000 A183 31 2 776.3000 Avenue_19 Avenue_17 287 N Avenue_19->Avenue_11->Avenue_17
3385.8000 A217 31 2 270.8000 Avenue_18 Street_9 295 N Avenue_18->Street_2->Street_9
3398.8000 A213 31 2 349.8000 Street_3 Avenue_15 294 N Street_3->Street_1->Avenue_15
3414.9000 A236 31 2 21.9000 Avenue_12 Avenue_19 299 N Avenue_12->Avenue_11->Avenue_19
3457.6000 A208 31 5 485.6000 Avenue_20 Street_4 291 N Avenue_20->Avenue_13->Street_2->Street_3->Street_6->Street_4
3462.5000 A231 31 1 144.5000 Avenue_13 Street_9 297 N Avenue_13->Street_9
3469.8000 A225 31 1 246.8000 Street_2 Station1_0 295 N Street_2->Station1_0
3469.9000 A103 31 1 2006.9000 Street_2 Station1_0 266 N Street_2->Station1_0
3500.3000 A189 31 2 805.3000 Avenue_13 Avenue_15 286 N Avenue_13->Avenue_20->Avenue_15
3523.7000 A229 31 3 238.7000 Street_1 Avenue_12 296 N Street_1->Street_9->Avenue_13->Avenue_12
3523.8000 A151 31 4 1355.8000 Street_10 Avenue_13 277 N Street_10->Street_4->Avenue_19->Avenue_12->Avenue_13
3524.3000 A200 31 1 669.3000 Avenue_12 Avenue_15 288 N Avenue_12->Avenue_15
3524.4000 A196 31 2 716.4000 Avenue_16 Avenue_15 288 N Avenue_16->Avenue_12->Avenue_15
3530.8000 A224 31 1 326.8000 Avenue_17 Avenue_18 294 N Avenue_17->Avenue_18
3536.3000 A227 31 3 280.3000 Avenue_12 Street_1 295 N Avenue_12->Avenue_15->Street_8->Street_1
3536.4000 A235 31 2 160.4000 Street_5 Street_1 297 N Street_5->Street_8->Street_1
3536.5000 A222 31 2 354.5000 Street_2 Street_1 294 N Street_2->Street_8->Street_1
3536.6000 A182 31 4 944.6000 Avenue_12 Street_1 284 N Avenue_12->Avenue_13->Street_2->Street_8->Street_1
3569.2000 A178 31 3 1026.2000 Avenue_13 Street_6 282 N Avenue_13->Street_2->Street_5->Street_6
3583.4000 A138 31 3 1623.4000 Avenue_20 Street_2 272 N Avenue_20->Street_4->Street_6->Street_2
3583.5000 A140 31 3 1587.5000 Avenue_20 Street_2 273 N Avenue_20->Street_4->Street_6->Street_2
3584.2000 A249 31 2 0.2000 Street_4 Street_2 299 N Street_4->Street_6->Street_2
3606.8000 A239 31 2 171.8000 Station1_0 Street_5 297 N Station1_0->Street_2->Street_5
3631.9000 A250 31 1 30.9000 Street_4 Street_6 299 N Street_4->Street_6
3641.8000 A246 31 2 104.8000 Street_2 Street_7 298 N Street_2->Street_5->Street_7
3641.9000 A212 31 3 608.9000 Station1_0 Street_7 289 N Station1_0->Street_2->Street_5->Street_7
3673.3000 A226 31 2 434.3000 Avenue_15 Avenue_19 292 N Avenue_15->Avenue_13->Avenue_19
3680.3000 A255 31 1 4.3000 Street_1 Street_10 299 N Street_1->Street_10
3700.6000 A112 31 3 2116.6000 Street_5 Avenue_20 264 N Street_5->Avenue_19->Avenue_14->Avenue_20
3762.1000 A253 31 1 119.1000 Street_1 Street_2 298 N Street_1->Street_2
3815.4000 A240 31 2 367.4000 Avenue_14 Street_7 293 N Avenue_14->Street_1->Street_7
3837.2000 A241 31 1 377.2000 Avenue_11 Avenue_20 293 N Avenue_11->Avenue_20
3837.3000 A254 31 2 178.3000 Street_9 Avenue_11 297 N Street_9->Avenue_20->Avenue_11
3838.3000 A232 31 1 502.3000 Avenue_18 Avenue_20 291 N Avenue_18->Avenue_20
3840.6000 A233 31 3 492.6000 Avenue_12 Street_5 291 N Avenue_12->Street_8->Street_3->Street_5
3870.1000 A262 31 1 89.1000 Avenue_15 Avenue_19 298 N Avenue_15->Avenue_19
3881.0000 A238 31 2 458.0000 Avenue_18 Avenue_14 292 N Avenue_18->Avenue_11->Avenue_14
3926.1000 A256 31 1 239.1000 Street_5 Street_1 296 N Street_5->Street_1
3938.5000 A265 31 2 106.5000 Avenue_20 Avenue_19 298 N Avenue_20->Avenue_11->Avenue_19
3961.8000 A269 31 2 72.8000 Avenue_19 Avenue_14 298 N Avenue_19->Avenue_13->Avenue_14
3979.0000 A219 31 3 836.0000 Avenue_14 Street_3 286 N Avenue_14->Street_1->Street_6->Street_3
3979.1000 A266 31 2 137.1000 Street_2 Street_3 297 N Street_2->Street_6->Street_3
3987.0000 A237 31 1 576.0000 Avenue_17 Street_4 290 N Avenue_17->Street_4
4014.2000 A270 31 1 108.2000 Avenue_19 Avenue_20 298 N Avenue_19->Avenue_20
4029.8000 A272 31 1 97.8000 Avenue_13 Avenue_15 298 N Avenue_13->Avenue_15
4106.3000 A281 31 1 43.3000 Street_5 Street_6 299 N Street_5->Street_6
4134.0000 A220 31 1 975.0000 Avenue_12 Avenue_20 283 N Avenue_12->Avenue_20
4134.1000 A248 31 3 568.1000 Street_5 Avenue_20 290 N Street_5->Street_4->Avenue_12->Avenue_20
4134.2000 A257 31 3 429.2000 Street_2 Avenue_20 292 N Street_2->Street_4->Avenue_12->Avenue_20
4146.5000 A283 31 1 59.5000 Street_9 Street_10 299 N Street_9->Street_10
4146.6000 A260 31 2 396.6000 Avenue_17 Street_9 293 N Avenue_17->Street_10->Street_9
4175.8000 A192 31 4 1430.8000 Station1_0 Avenue_19 276 N Station1_0->Street_2->Street_7->Avenue_17->Avenue_19
4244.3000 A279 31 2 208.3000 Avenue_16 Street_9 296 N Avenue_16->Street_10->Street_9
4244.4000 A230 31 2 944.4000 Avenue_16 Street_9 284 N Avenue_16->Street_10->Street_9
4283.8000 A259 31 3 548.8000 Avenue_12 Avenue_18 290 N Avenue_12->Avenue_17->Avenue_19->Avenue_18
4283.9000 A40 31 5 3719.9000 Station1_0 Avenue_18 238 N Station1_0->Street_2->Street_4->Avenue_17->Avenue_19->Avenue_18
4284.0000 A251 31 2 666.0000 Avenue_17 Avenue_18 288 N Avenue_17->Avenue_19->Avenue_18
4284.9000 A292 31 2 70.9000 Street_8 Street_5 298 N Street_8->Street_10->Street_5
4321.1000 A293 31 2 92.1000 Avenue_17 Avenue_13 298 N Avenue_17->Avenue_19->Avenue_13
4335.9000 A48 31 2 3657.9000 Avenue_19 Station1_0 239 N Avenue_19->Street_5->Station1_0
4336.0000 A86 31 2 3106.0000 Street_3 Station1_0 248 N Street_3->Street_5->Station1_0
4336.1000 A139 31 2 2359.1000 Avenue_19 Station1_0 260 N Avenue_19->Street_5->Station1_0
4336.2000 A146 31 2 2245.2000 Street_8 Station1_0 262 N Street_8->Street_5->Station1_0
4336.3000 A243 31 2 844.3000 Avenue_12 Station1_0 285 N Avenue_12->Street_5->Station1_0
4336.4000 A78 31 2 3224.4000 Avenue_12 Station1_0 246 N Avenue_12->Street_5->Station1_0
4337.3000 A252 31 4 705.3000 Avenue_19 Street_2 288 N Avenue_19->Avenue_13->Avenue_16->Street_1->Street_2
4345.8000 A288 31 2 187.8000 Avenue_12 Street_6 296 N Avenue_12->Street_1->Street_6
4345.9000 A247 31 2 796.9000 Avenue_16 Street_6 286 N Avenue_16->Street_1->Street_6
4355.7000 A302 31 1 6.7000 Avenue_20 Avenue_12 299 N Avenue_20->Avenue_12
4362.7000 A261 31 2 595.7000 Street_2 Avenue_14 290 N Street_2->Street_1->Avenue_14
4388.4000 A275 31 2 407.4000 Avenue_18 Avenue_17 293 N Avenue_18->Avenue_15->Avenue_17
4388.5000 A276 31 2 389.5000 Avenue_16 Avenue_15 293 N Avenue_16->Avenue_17->Avenue_15
4390.8000 A127 31 4 2580.8000 Station1_0 Avenue_17 256 N Station1_0->Street_2->Street_1->Avenue_16->Avenue_17
4399.9000 A290 31 1 213.9000 Street_4 Street_3 296 N Street_4->Street_3
4465.2000 A263 31 3 665.2000 Avenue_14 Street_9 288 N Avenue_14->Street_1->Street_10->Street_9
4496.7000 A308 31 2 68.7000 Avenue_20 Street_10 298 N Avenue_20->Street_2->Street_10
4520.2000 A285 31 2 407.2000 Avenue_12 Avenue_19 293 N Avenue_12->Avenue_20->Avenue_19
4520.3000 A271 31 3 603.3000 Street_9 Avenue_19 289 N Street_9->Street_1->Avenue_20->Avenue_19
4520.4000 A242 31 2 1047.4000 Avenue_12 Avenue_19 282 N Avenue_12->Avenue_20->Avenue_19
4523.0000 A299 31 2 213.0000 Street_6 Avenue_13 296 N Street_6->Street_1->Avenue_13
4588.6000 A244 31 2 1082.6000 Station1_0 Street_4 281 N Station1_0->Street_5->Street_4
4600.9000 A211 31 2 1586.9000 Avenue_11 Street_9 273 N Avenue_11->Avenue_13->Street_9
4611.6000 A264 31 4 792.6000 Street_7 Avenue_11 286 N Street_7->Street_6->Avenue_14->Avenue_15->Avenue_11
4619.1000 A267 31 2 758.1000 Avenue_15 Street_5 287 N Avenue_15->Avenue_19->Street_5
4623.5000 A287 31 3 481.5000 Street_8 Avenue_12 291 N Street_8->Avenue_16->Avenue_15->Avenue_12
4623.6000 A315 31 2 95.6000 Avenue_16 Avenue_12 298 N Avenue_16->Avenue_15->Avenue_12
4654.1000 A323 31 1 0.1000 Street_7 Street_1 299 N Street_7->Street_1
4770.1000 A319 31 3 174.1000 Avenue_19 Street_1 297 N Avenue_19->Street_10->Street_9->Street_1
4804.0000 A291 31 2 607.0000 Avenue_18 Street_7 289 N Avenue_18->Avenue_16->Street_7
4804.1000 A300 31 2 479.1000 Avenue_17 Street_7 292 N Avenue_17->Avenue_16->Street_7
4804.2000 A314 31 1 292.2000 Avenue_16 Street_7 295 N Avenue_16->Street_7
4804.3000 A245 31 1 1281.3000 Street_7 Avenue_16 278 N Street_7->Avenue_16
4804.4000 A286 31 4 674.4000 Street_3 Avenue_16 288 N Street_3->Street_5->Avenue_13->Street_7->Avenue_16
4806.0000 A298 31 3 510.0000 Avenue_15 Street_4 291 N Avenue_15->Avenue_16->Street_7->Street_4
